,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure
137597,5f5e5f0b-1bc8-49c4-8d6a-7e0152b6b492,82,Barcelona,From Corner,Barcelona,Marc Bartra Aregall,"[114.4, 43.7]",Left Center Back,"[114.1, 44.0]",0.0564,,Blocked,Open Play,266838,True
137598,8005a6b5-66c2-425a-939e-5b75b63decef,3,Barcelona,Regular Play,Barcelona,Daniel Alves da Silva,"[118.3, 41.4, 0.4]",Right Back,"[108.5, 52.3]",0.58013,,Saved,Open Play,265963,
137599,743de184-d12d-4df5-b7c6-b95cbaef4e6a,5,Barcelona,Regular Play,Barcelona,Daniel Alves da Silva,"[120.0, 28.1, 0.3]",Right Back,"[107.1, 50.4]",1.612114,,Off T,Open Play,265963,
137600,034c6651-79e7-4661-8566-69d4f2842716,8,Barcelona,Other,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 40.4, 1.9]",Right Wing,"[108.0, 39.9]",0.856154,,Goal,Penalty,265963,
137601,14210c34-38f2-481e-9382-4ea5ccfb797d,13,Barcelona,From Corner,Barcelona,Rafael Alcântara do Nascimento,"[120.0, 40.8, 3.5]",Right Center Midfield,"[107.8, 47.2]",0.86538,,Off T,Open Play,265963,
137602,90e6e115-0816-452f-a8fd-5a6032b89bb0,14,Getafe,Regular Play,Getafe,Fredy Hinestroza Arias,"[119.6, 42.6, 2.4]",Center Attacking Midfield,"[99.6, 26.7]",2.7043,,Saved,Open Play,265963,True
137603,da088e41-4f3d-4413-8c84-69fd4224604f,16,Getafe,From Goal Kick,Getafe,Papa Babacar Diawara,"[118.1, 36.0, 0.1]",Center Forward,"[115.8, 29.3]",0.874385,,Saved,Open Play,265963,
137604,de6d7ca7-63cc-47fd-b28e-23521df1ca3b,19,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 46.6, 0.0]",Right Wing,"[102.1, 48.8]",0.867863,,Off T,Open Play,265963,
137605,0adafbd1-9d63-42c3-a7ed-38dc5d5ad6ef,21,Barcelona,From Corner,Barcelona,Marc Bartra Aregall,"[119.9, 32.4, 1.3]",Right Center Back,"[113.3, 44.5]",1.371262,,Off T,Open Play,265963,True
137606,ed6134cb-d2fb-4472-b094-ba57db7e2e0c,22,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[117.0, 40.2, 1.5]",Center Forward,"[102.7, 52.5]",1.188572,,Saved,Open Play,265963,
137607,1aa7e2a9-4fed-48e1-8d43-30e6a8b59bb5,23,Getafe,From Corner,Getafe,Emiliano Daniel Velázquez Maldonado,"[120.0, 46.8, 1.8]",Right Center Back,"[112.9, 48.5]",0.555554,,Off T,Open Play,265963,
137608,8ec5e7e9-7be7-451e-b808-8a947aecce6f,24,Barcelona,From Goal Kick,Barcelona,Luis Alberto Suárez Díaz,"[119.9, 43.3, 2.3]",Center Forward,"[109.2, 44.5]",0.733976,,Goal,Open Play,265963,
137609,3bf14374-7a94-4159-862c-24ac86d2d9b2,25,Getafe,From Kick Off,Getafe,Emiliano Buendía,"[119.4, 35.9, 0.1]",Left Wing,"[113.8, 20.3]",0.416403,,Saved,Open Play,265963,
